year,term,crn,subject,course,title,ap,a,am,bp,b,bm,cp,c,cm,dp,d,dm,f,w,professor
2017,Spring,30107,AAS,100,Intro Asian American Studies,9,8,3,0,6,0,1,1,0,0,0,0,0,0,"Lee, Sang S"
2017,Spring,41729,AAS,100,Intro Asian American Studies,7,5,5,4,3,3,2,2,1,1,0,0,0,0,"Lee, Sang S"
2017,Spring,48232,AAS,100,Intro Asian American Studies,22,5,0,0,2,1,0,0,0,0,0,0,0,0,"Chung, Ga Young"
2017,Spring,48234,AAS,100,Intro Asian American Studies,16,7,0,1,2,1,1,0,1,0,0,0,0,0,"Chung, Ga Young"
2017,Spring,50105,AAS,100,Intro Asian American Studies,12,1,5,1,1,1,1,0,0,1,0,0,0,0,"Lee, Jean Y"
2017,Spring,59194,AAS,120,Intro to Asian Am Pop Culture,1,15,3,2,3,1,1,0,0,0,0,0,0,1,"Eng, Christopher A"
2017,Spring,64396,AAS,200,U.S. Race and Empire,7,7,3,1,0,2,1,0,0,0,0,0,0,0,"Sharif, Lila A"
2017,Spring,52317,AAS,215,US Citizenship Comparatively,1,9,1,0,2,4,2,1,1,1,0,1,3,1,"Cacho, Lisa M"
2017,Spring,54768,ABE,141,ABE Principles: Biological,0,18,12,10,3,3,0,0,0,0,2,0,4,0,"Bhalerao, Kaustubh"
2017,Spring,57089,ABE,225,ABE Principles: Bioenvironment,3,17,2,4,8,2,1,0,1,0,0,0,1,0,"Zhang, Yuanhui"
2017,Spring,57086,ABE,226,ABE Principles: Bioprocessing,2,5,13,6,4,4,2,1,0,0,0,0,0,0,"Singh, Vijay"
2017,Spring,39997,ABE,425,Engrg Measurement Systems,1,30,3,3,0,1,1,0,0,0,0,0,0,0,"Grift, Tony E"
2017,Spring,47444,ABE,436,Renewable Energy Systems,4,8,5,12,7,5,3,1,0,0,1,0,1,0,"Wang, Xinlei"
2017,Spring,51916,ABE,446,Biological Nanoengineering,1,6,12,2,0,1,0,0,0,0,0,0,0,0,"Bhalerao, Kaustubh"
2017,Spring,45418,ACCY,200,Fundamentals of Accounting,7,24,22,19,14,14,16,8,4,3,1,0,2,0,"Silhan, Peter A"
2017,Spring,30111,ACCY,200,Fundamentals of Accounting,8,11,7,3,0,1,0,0,0,0,0,0,0,0,"Li, Wei"
2017,Spring,30112,ACCY,201,Accounting and Accountancy I,4,5,6,3,5,6,3,5,4,0,2,0,4,1,"Gebhardt, Abbey L"
2017,Spring,30113,ACCY,201,Accounting and Accountancy I,4,9,7,6,5,4,0,3,2,0,6,0,1,0,"Gebhardt, Abbey L"
2017,Spring,30115,ACCY,201,Accounting and Accountancy I,4,7,7,7,6,3,3,3,2,0,8,0,0,1,"Jones, Brock A"
2017,Spring,30116,ACCY,201,Accounting and Accountancy I,1,4,5,4,6,7,3,3,3,0,3,0,3,2,"Pietura, Magdalena"
2017,Spring,30117,ACCY,201,Accounting and Accountancy I,2,4,11,5,5,3,3,3,1,0,2,0,3,2,"Pietura, Magdalena"
2017,Spring,45631,ACCY,201,Accounting and Accountancy I,5,10,8,6,6,3,5,1,1,0,3,0,0,2,"Jones, Brock A"
2017,Spring,30147,ACCY,202,Accounting and Accountancy II,2,9,0,3,6,3,3,2,2,0,0,0,0,0,"Shen, Haoqing"
2017,Spring,30121,ACCY,202,Accounting and Accountancy II,2,3,1,7,9,3,3,2,1,0,0,0,0,0,"Shen, Haoqing"
2017,Spring,30123,ACCY,202,Accounting and Accountancy II,3,3,1,5,7,3,4,0,2,0,2,0,0,1,"Valentine, Courtney M"
2017,Spring,30140,ACCY,202,Accounting and Accountancy II,3,4,1,7,7,2,2,1,2,0,0,0,0,0,"Silver, Paige R"
2017,Spring,30143,ACCY,202,Accounting and Accountancy II,4,3,2,15,4,4,1,0,0,0,1,0,1,1,"Waddock, Madeleine K"
2017,Spring,30151,ACCY,202,Accounting and Accountancy II,4,8,0,7,5,5,2,1,2,0,1,0,0,0,"Waddock, Madeleine K"
2017,Spring,30155,ACCY,202,Accounting and Accountancy II,3,4,2,9,7,4,1,4,1,0,0,0,0,0,"Agapito, Christina N"
2017,Spring,30159,ACCY,202,Accounting and Accountancy II,3,10,1,8,3,5,2,2,1,0,0,0,0,0,"Valentine, Courtney M"
2017,Spring,30161,ACCY,202,Accounting and Accountancy II,5,4,3,6,6,2,2,5,0,0,1,0,0,0,"Silver, Paige R"
2017,Spring,30164,ACCY,202,Accounting and Accountancy II,1,5,2,6,8,2,3,0,2,0,3,0,0,1,"Agapito, Christina N"
2017,Spring,30168,ACCY,202,Accounting and Accountancy II,1,4,4,3,11,5,1,2,1,0,1,0,0,0,"Coady, Jennifer J"
2017,Spring,30171,ACCY,202,Accounting and Accountancy II,1,4,2,12,6,0,4,2,1,0,0,0,0,0,"Chen, Monica S"
2017,Spring,30176,ACCY,202,Accounting and Accountancy II,2,6,0,6,9,2,3,3,2,0,0,0,0,1,"Schraiber, Rebecca L"
2017,Spring,30179,ACCY,202,Accounting and Accountancy II,1,4,2,7,7,3,4,2,2,0,0,0,0,0,"Schraiber, Rebecca L"
2017,Spring,30182,ACCY,202,Accounting and Accountancy II,2,3,2,8,4,5,3,1,4,0,0,0,0,0,"Coady, Jennifer J"
2017,Spring,30186,ACCY,202,Accounting and Accountancy II,2,6,2,9,5,4,0,1,1,0,0,0,0,0,"Chen, Monica S"
2017,Spring,30192,ACCY,301,Atg Measurement & Disclosure,4,3,4,3,5,2,1,0,1,2,0,1,4,1,"Davis, Gregory L"
2017,Spring,30195,ACCY,301,Atg Measurement & Disclosure,8,8,5,2,5,1,3,2,0,0,0,0,0,0,"Davis, Gregory L"
2017,Spring,30197,ACCY,301,Atg Measurement & Disclosure,8,8,8,2,3,1,1,1,0,1,0,0,0,0,"Davis, Gregory L"
2017,Spring,30200,ACCY,301,Atg Measurement & Disclosure,7,5,9,7,2,1,1,0,0,0,0,1,0,1,"Winn, Amanda M"
2017,Spring,30201,ACCY,301,Atg Measurement & Disclosure,4,3,8,7,5,1,3,3,1,0,0,0,0,0,"Winn, Amanda M"
2017,Spring,30203,ACCY,301,Atg Measurement & Disclosure,1,10,4,5,5,3,3,1,1,1,1,0,0,0,"Winn, Amanda M"
2017,Spring,60043,ACCY,302,Decision Making for Atg,0,8,7,10,4,1,4,0,0,0,0,0,0,0,"Fanning, Kirsten B"
2017,Spring,30211,ACCY,302,Decision Making for Atg,0,4,12,7,6,2,3,1,1,0,0,0,0,0,"Fanning, Kirsten B"
2017,Spring,30212,ACCY,302,Decision Making for Atg,0,8,4,6,9,5,2,0,1,1,0,0,0,0,"Finnegan, Thomas"
2017,Spring,30228,ACCY,302,Decision Making for Atg,0,8,14,6,0,3,3,1,0,0,0,0,0,1,"Finnegan, Thomas"
2017,Spring,30232,ACCY,302,Decision Making for Atg,0,11,7,1,10,4,0,0,1,0,0,0,0,0,"Fanning, Kirsten B"
